"";"name";"ID";"agreement_start";"creditcardnr";"default";"date_of_default"
"1002";"Lashaunda Bradtke";"654-12-1365";1999-11-11;"9574-4904-5049-6576";1;"2019-10-21"
"1003";"Delta Shanahan";"944-96-6855";1997-11-24;"2901-9964-1825-1459";0;NA
"1004";"Yun Herman";"447-46-4575";1998-05-08;"4460-7360-3598-9030";0;NA
"1005";"Libbie Keebler";"237-92-1525";1997-10-06;"6872-8139-5879-8718";0;NA
"1006";"Tommy Gaylord";"888-25-6211";2001-04-25;"9409-5820-5594-4265";0;NA
"1007";"Darin Kautzer";"874-54-8045";2000-05-11;"4537-1332-7831-9203";1;"2005-08-23"
"1008";"Tuan Hilll";"236-94-5650";2003-09-19;"6190-6491-4312-5114";0;NA
"1009";"Araceli Ritchie";"782-60-4996";1992-06-18;"8786-6257-3898-9500";0;NA
"1010";"Maryln Denesik";"146-12-3687";1997-01-22;"4431-6645-6864-6230";0;NA
"1011";"Agnes Upton";"459-77-8565";1991-03-07;"2229-5626-9698-6263";0;NA
"1012";"Simonne Schaden";"272-34-9593";2001-07-04;"9018-8471-5323-9707";0;NA
"1013";"Marlana Witting";"989-92-6426";1998-01-05;"1059-2974-7040-5723";1;"2015-03-01"
"1014";"Kaylee Hammes";"669-72-2693";1997-12-13;"6320-1570-2854-4577";0;NA
"1015";"Norene Beatty";"721-29-7736";1991-09-03;"6640-7980-7681-2679";0;NA
"1016";"Darline O'Conner";"126-34-8329";1998-01-17;"3987-3629-1043-5762";0;NA
"1017";"Roderick Haag";"515-22-7796";1993-05-11;"5759-2135-6013-4373";0;NA
"1018";"Julian Effertz";"613-59-3288";1995-09-19;"8600-8521-4876-6651";0;NA
"1019";"Mittie O'Hara";"322-76-4979";1995-09-25;"4033-2050-1311-4846";0;NA
"1020";"Leilani Fadel";"996-29-6343";1999-09-05;"1980-3834-1723-6469";0;NA
"1021";"Hien Kling";"585-95-3954";1996-07-16;"2183-6844-2310-9632";0;NA
"1022";"Sebrina Boehm";"326-90-9440";1995-02-07;"1116-4621-2091-2957";0;NA
"1023";"Luanne Jast";"160-59-7867";1998-03-21;"4614-6370-8169-4661";0;NA
"1024";"Kasey Casper";"440-61-3840";2002-09-23;"5472-1057-3012-2153";0;NA
"1025";"Abdul Rowe";"849-16-8137";1990-11-09;"5397-2308-3452-6837";0;NA
"1026";"Dominick Jacobi";"267-83-1744";1997-09-09;"9286-9205-5267-2638";0;NA
"1027";"Jacquiline Murphy";"871-91-4888";1990-10-05;"7658-1653-1083-6794";0;NA
"1028";"Dominick Connelly";"829-78-2534";2001-04-09;"9844-9313-4943-3119";0;NA
"1029";"Geoffrey Schmidt";"612-84-1452";1991-02-24;"8397-7767-9043-3859";0;NA
"1030";"Brianna Smitham";"837-29-8321";1991-04-16;"3493-3408-7690-5635";0;NA
"1031";"Franchesca Runolfsson";"948-95-5484";1996-08-07;"5971-9677-8011-3681";0;NA
"1032";"Preston Kihn";"640-71-4326";1992-09-02;"7627-2565-7898-4992";0;NA
"1033";"Carter Hirthe";"714-46-4888";2002-08-11;"7365-7614-9671-9117";0;NA
"1034";"Kasandra Orn";"680-17-9677";1990-04-03;"7305-7237-2984-5639";0;NA
"1035";"Alease Adams";"981-53-1588";1991-07-27;"4098-8547-9953-5142";0;NA
"1036";"Kathaleen Brown";"721-95-7649";1994-10-07;"1097-3384-7737-6002";0;NA
"1037";"Rufus Kuhn";"525-75-4573";2003-08-14;"7430-7522-7458-8753";1;"2004-03-04"
"1038";"Maricruz Turner";"745-89-5950";2003-05-25;"3761-9818-2682-8467";0;NA
"1039";"Harlan Gerhold";"701-52-7183";1993-08-15;"5922-8334-3304-8238";0;NA
"1040";"Kyle Wisoky";"434-22-9295";1990-02-20;"1436-9225-1574-4643";1;"2018-04-26"
"1041";"Jared Dickens";"674-29-1809";2001-02-21;"8271-2169-2754-4206";1;"2014-11-24"
"1042";"Ross Runte";"113-87-7567";1997-08-30;"8867-4032-3614-1499";0;NA
"1043";"Lavern DuBuque";"255-60-6840";1998-07-11;"2326-3169-3572-2940";0;NA
"1044";"Arnoldo Sipes";"762-44-6424";1996-09-25;"6715-4722-6608-1674";0;NA
"1045";"Vickey Hilll";"216-40-1655";1999-02-11;"6067-8194-5831-7897";0;NA
"1046";"Anastacia Kunde";"803-24-9677";1999-03-08;"4167-4000-4279-8144";0;NA
"1047";"Filiberto Mayert";"833-83-3907";1992-03-15;"3985-5281-3864-1347";0;NA
"1048";"Ali Renner";"249-87-4801";1996-11-30;"1174-9250-2329-3070";0;NA
"1049";"Fletcher Gorczany";"644-67-1862";2001-01-04;"1882-1644-1386-5197";0;NA
"1050";"Trevor Hoppe";"665-73-5254";1999-09-10;"1273-6664-1058-6504";0;NA
"1051";"Dwana Nolan";"918-22-3243";2002-07-15;"4198-1435-2727-3956";1;"2011-05-21"
"1052";"Seth Hodkiewicz";"295-94-8957";2003-01-16;"4092-4069-6547-8281";0;NA
"1053";"Lesley Brakus";"943-91-4346";1995-01-01;"7682-6117-3345-4315";0;NA
"1054";"Alma Kertzmann";"934-23-8817";2001-01-21;"3144-2305-4093-8482";1;"2021-04-02"
"1055";"Edmundo Emard";"367-34-2525";1996-12-15;"7828-9015-2622-1988";1;"2004-01-10"
"1056";"Kay Nienow";"440-68-1095";1995-05-01;"1495-4565-5823-5773";0;NA
"1057";"Jarod Feeney";"187-86-6598";2002-10-16;"2190-3619-4588-2195";1;"2007-07-16"
"1058";"Lamar Ullrich";"389-79-3963";1991-11-03;"3278-3010-9188-6129";0;NA
"1059";"Lakesha Shanahan";"410-91-1652";1990-09-22;"8264-1544-8714-9359";0;NA
"1060";"Gregory Jacobs";"430-45-3641";1992-03-23;"3632-8004-2539-5831";0;NA
"1061";"Mavis Witting";"955-78-2958";2002-04-16;"8747-6147-8792-7029";1;"2004-11-04"
"1062";"Heath Boyle";"737-36-5537";2002-07-17;"4404-6094-4599-5555";0;NA
"1063";"Sherman Gleason";"369-72-8414";1993-11-01;"9116-5378-3203-6697";0;NA
"1064";"Veda Windler";"987-38-8963";1990-03-29;"9958-2033-3319-8437";0;NA
"1065";"Sonny Schoen";"615-30-8936";1992-09-23;"7334-7967-3319-1447";0;NA
"1066";"German Carroll";"851-52-6335";1991-05-31;"7916-6032-1313-5330";0;NA
"1067";"Kati Gislason";"652-42-1841";1992-10-18;"3188-7283-6026-7497";0;NA
"1068";"Gertha Huels";"423-97-7394";2002-11-24;"6131-3836-3065-8798";0;NA
"1069";"Truman Bartell";"170-57-5805";1992-12-07;"1188-7974-3450-8219";0;NA
"1070";"Vina Hansen";"433-11-5133";1997-11-03;"9051-1347-6657-8006";0;NA
"1071";"Dane Runolfsson";"439-16-7952";2000-12-07;"3519-2923-1682-2188";0;NA
"1072";"Edison Mraz";"476-19-1325";2002-08-25;"8186-6483-1033-5379";0;NA
"1073";"Everette Gleason";"814-82-8590";2001-05-03;"3882-3485-9249-5978";1;"2006-08-17"
"1074";"Rene Krajcik";"193-87-4678";2000-04-04;"4589-3401-2967-7389";0;NA
"1075";"Soledad Altenwerth";"802-24-8773";1997-10-21;"9129-6392-3389-3939";0;NA
"1076";"Denver Larkin";"162-78-3959";2001-08-05;"8529-1407-9647-7858";0;NA
"1077";"Jefferey Wisozk";"294-38-2536";1999-06-04;"8439-7096-9213-9480";0;NA
"1078";"Brent Runte";"778-69-9125";2002-02-07;"7989-8585-2159-1025";0;NA
"1079";"Belkis Osinski";"640-67-3069";1991-11-22;"6322-9178-2271-3287";0;NA
"1080";"Rico Trantow";"854-37-2222";1995-08-09;"7885-6466-9240-5095";0;NA
"1081";"German Beier";"112-38-2896";2002-04-28;"8424-6354-1104-4973";0;NA
"1082";"Vita Reichel";"127-61-4922";1990-07-29;"3776-8569-1600-9147";0;NA
"1083";"Lashanda Heidenreich";"441-82-5679";2000-09-08;"2232-3707-8860-9616";0;NA
"1084";"Gloria Schulist";"703-42-5071";1995-01-02;"8061-1321-2194-3699";1;"2018-02-09"
"1085";"Wilhelmina Yost";"937-43-9850";1992-02-09;"9088-6179-4997-2510";1;"2013-04-01"
"1086";"Vernon Doyle";"556-36-6435";1994-08-20;"2691-2740-4093-1754";0;NA
"1087";"Emmie Feest";"192-29-6720";2003-07-10;"7255-6913-9712-7810";0;NA
"1088";"Trena Ullrich";"353-71-5238";2000-03-27;"1244-8235-4304-5951";0;NA
"1089";"Mohammad Bailey";"107-75-5414";1992-05-22;"3016-7925-7316-9710";0;NA
"1090";"Laurette Ziemann";"574-54-2549";1999-05-10;"9846-5650-5073-7489";0;NA
"1091";"Barbar Lueilwitz";"420-55-6859";2000-04-19;"8870-8891-1824-7821";0;NA
"1092";"Faustino Bergnaum";"215-68-6060";2000-06-15;"8223-3762-3060-9363";0;NA
"1093";"Warner Spinka";"974-52-7527";1991-03-21;"5532-1020-8823-9052";1;"2013-07-27"
"1094";"Vanda Parker";"540-55-5830";1995-07-09;"2957-3708-5377-5021";0;NA
"1095";"Norman O'Connell";"871-94-8584";1990-10-22;"8001-1025-9153-2592";0;NA
"1096";"Louise Breitenberg";"556-80-1840";1992-06-10;"3140-5062-7013-3215";1;"2012-05-13"
"1097";"Cory Luettgen";"313-21-9368";1999-08-19;"5245-2111-7107-2844";0;NA
"1098";"Marnie Blick";"496-67-6907";1990-07-08;"4462-2352-9627-4003";1;"2015-10-24"
"1099";"Charlie Dickinson";"419-37-6554";2003-11-18;"2943-8747-6387-3439";0;NA
"1100";"Raymond Klocko";"438-52-2376";2000-01-01;"7723-9112-2217-7759";0;NA
"1101";"Roland Morissette";"628-35-9499";1999-08-27;"5105-6900-7677-8549";1;"2008-04-04"
"1102";"Austin Fisher";"984-61-3645";1991-03-16;"5915-3973-5252-5485";0;NA
"1103";"Aurelia Reichert";"411-71-1713";1997-01-23;"2664-3153-3600-5285";0;NA
"1104";"Pura Cremin";"748-18-4919";1995-09-21;"9403-3739-6853-4632";0;NA
"1105";"Andrew Okuneva";"406-10-5341";2001-11-25;"3383-9739-5125-4172";0;NA
"1106";"Chantelle Botsford";"131-76-4599";2002-09-29;"6343-4764-8879-4375";0;NA
"1107";"Johnathan Ryan";"284-47-2902";2002-11-16;"6732-8103-3650-6289";0;NA
"1108";"Garfield Green";"700-81-7322";2002-03-03;"9713-9845-5340-5146";0;NA
"1109";"Trinidad Kulas";"589-84-7657";1992-11-11;"5646-5103-2997-2246";0;NA
"1110";"Demetra Swaniawski";"372-64-3945";1997-03-30;"8906-4405-7290-4408";0;NA
"1111";"Ed Kessler";"534-50-4732";1995-11-12;"6858-6228-5694-2707";0;NA
"1112";"Nikia Kulas";"440-67-6222";1991-08-13;"9850-4956-2884-5600";1;"2017-04-13"
"1113";"Fabian Jewess";"513-39-9383";1996-10-21;"2033-5677-1226-2228";1;"2014-12-21"
"1114";"Laureen Miller";"160-38-7514";2003-12-07;"1439-3101-3045-6155";0;NA
"1115";"Antonetta Smitham";"710-90-4160";1993-11-17;"1421-1204-4171-1079";0;NA
"1116";"Andre Stokes";"369-24-3279";1997-02-22;"5108-2784-7014-8294";0;NA
"1117";"Emil Boyer";"248-78-7505";1994-02-22;"5396-3224-9791-7508";0;NA
"1118";"Clementina Williamson";"817-37-8288";2002-05-20;"2901-6848-7424-4047";0;NA
"1119";"Willard Spinka";"377-67-4635";1999-03-17;"5802-4386-6271-5811";0;NA
"1120";"Luis Bailey";"232-25-6241";1997-01-04;"1360-9241-2222-7585";1;"2006-03-15"
"1121";"Mohammed Feil";"392-56-5059";1996-11-19;"2845-1084-7061-3993";0;NA
"1122";"Libbie Bins";"517-30-6923";1992-07-05;"8446-4575-3355-2708";0;NA
"1123";"Gerard Hane";"252-30-2027";2000-06-25;"4331-8701-3972-6200";0;NA
"1124";"Celinda Gislason";"789-99-6350";1998-12-02;"8925-6537-7528-8883";0;NA
"1125";"Saul Von";"534-14-4678";2000-11-21;"9577-4925-3571-8291";0;NA
"1126";"Christian Walker";"621-46-4167";2001-07-02;"2847-2140-2855-4249";0;NA
"1127";"Leon Pacocha";"356-38-6970";1997-10-31;"9819-5205-2696-7154";0;NA
"1128";"Hank Langworth";"831-62-5865";1997-12-08;"1002-5416-3439-7833";1;"2004-04-10"
"1129";"Merlin Goldner";"346-59-1605";1996-11-09;"3017-8740-6764-9907";1;"2021-01-17"
"1130";"Laverne Dare";"534-56-5480";1991-08-10;"7906-6416-4050-8308";0;NA
"1131";"Dusty Kuhn";"135-10-6417";1996-04-06;"5764-1195-2605-9468";0;NA
"1132";"Avery Roberts";"585-16-9383";1990-08-31;"9220-6554-7503-4235";0;NA
"1133";"Alida Steuber";"316-58-8914";1996-04-24;"6631-1288-1690-5355";0;NA
"1134";"Arthur Kozey";"231-76-6681";2003-06-11;"3015-7006-5699-9750";1;"2024-06-11"
"1135";"Faviola Lesch";"266-37-3449";1991-02-27;"5488-8177-7546-2883";0;NA
"1136";"Bart Zboncak";"624-77-1658";2001-06-11;"4017-9950-6503-3974";0;NA
"1137";"Izetta Heller";"414-76-5223";1991-09-06;"4205-6488-8991-6706";0;NA
"1138";"Kasey Feest";"407-91-3613";2002-02-21;"7585-7999-4933-4236";0;NA
"1139";"Heike Effertz";"647-32-2627";1991-03-28;"8364-4183-4027-2457";0;NA
"1140";"Arthur Daugherty";"288-56-3880";1994-11-14;"6043-8763-5662-3474";0;NA
"1141";"Rachal Zemlak";"401-61-3711";1996-06-17;"1579-3527-9608-8147";0;NA
"1142";"Latosha Stiedemann";"964-72-2254";1995-09-13;"8370-9759-6433-2080";0;NA
"1143";"Lashawnda Toy";"381-10-4123";1994-02-26;"1331-2312-6755-3832";0;NA
"1144";"Ingeborg Stanton";"618-39-9917";1990-09-06;"2565-2526-2027-2631";0;NA
"1145";"Gaye Flatley";"300-40-4150";1995-10-20;"9115-2818-1397-4425";0;NA
"1146";"Vernon Ullrich";"473-17-5708";1990-09-29;"3512-9151-1976-3803";0;NA
"1147";"Marlin Shanahan";"979-60-1632";1999-07-12;"1991-2616-7240-3584";0;NA
"1148";"Dusty Johnson";"753-71-4909";1998-08-16;"7104-8028-6570-7881";0;NA
"1149";"Mariela Welch";"981-20-7807";2000-01-09;"1488-2145-8430-6348";0;NA
"1150";"Shaun Simonis";"710-13-9293";1996-12-30;"8423-9993-9390-7475";0;NA
"1151";"Branden Schumm";"196-83-8735";1991-10-01;"8621-9982-3481-1090";0;NA
"1152";"Yevette Kutch";"970-12-4133";1997-08-12;"9563-4349-4694-9594";0;NA
"1153";"Gregory Kub";"388-47-7844";1995-02-15;"7288-2990-1326-8601";0;NA
"1154";"Harlan McLaughlin";"607-88-4140";1992-10-19;"1909-4021-8838-1278";1;"2005-02-25"
"1155";"Veronica Rolfson";"401-58-8478";1990-09-26;"8142-1960-4833-5574";0;NA
"1156";"Autumn Lueilwitz";"757-51-2777";1998-08-03;"1582-8670-2588-4430";1;"2019-06-21"
"1157";"Modesto Dibbert";"394-24-3743";1996-10-28;"2087-8764-3704-4645";0;NA
"1158";"Alec Toy";"499-62-7753";1998-09-16;"7662-7719-1650-8771";0;NA
"1159";"Helen Prohaska";"723-10-4877";1995-03-06;"1307-5857-2972-2789";0;NA
"1160";"Gricelda Ledner";"839-58-1045";1995-07-24;"8570-5481-5836-7551";1;"2011-01-11"
"1161";"Lela Champlin";"303-25-4275";1997-11-12;"1197-2328-9923-3863";0;NA
"1162";"Lamonica Legros";"594-88-5096";1990-04-11;"6330-6503-2318-4008";1;"2014-01-14"
"1163";"Desmond Ebert";"839-81-6563";1996-09-14;"3524-8957-4188-6051";1;"2016-03-23"
"1164";"Annita Kihn";"702-29-9399";1997-02-16;"2545-1677-6207-9972";1;"2010-04-04"
"1165";"Tomika Schneider";"647-97-2454";1991-02-04;"6650-2116-4089-7805";0;NA
"1166";"Ted Schmitt";"222-25-3578";2001-07-17;"4007-8160-5298-6875";0;NA
"1167";"Yen Berge";"787-27-1612";1998-08-02;"6772-7775-2102-9786";0;NA
"1168";"Joel Ullrich";"458-17-4944";1997-10-08;"4135-8016-3678-3582";0;NA
"1169";"Valentina O'Kon";"758-79-6249";1990-05-31;"1810-1056-8730-4924";0;NA
"1170";"Stanley Rogahn";"420-81-7185";1994-12-04;"6338-6502-1768-9654";0;NA
"1171";"Abel Zemlak";"546-64-8453";1996-08-05;"3596-1829-3220-3336";0;NA
"1172";"Nathanael Beer";"988-37-1882";1993-09-01;"2646-1699-5512-2986";0;NA
"1173";"Donovan Schumm";"231-84-3865";1998-10-07;"6106-7931-7267-8337";0;NA
"1174";"Billie Lindgren";"475-14-6720";2001-07-24;"8502-2507-2422-5990";1;"2023-11-03"
"1175";"Ken Rippin";"505-10-1367";2001-07-29;"8875-7287-6846-8481";1;"2011-03-13"
"1176";"Cordie Kuphal";"972-26-5034";1994-04-19;"6111-1030-5789-6865";0;NA
"1177";"Alphonse Hand";"475-52-5581";1997-12-31;"6788-2308-6467-3342";0;NA
"1178";"Thad Morissette";"167-74-2013";2003-10-12;"7678-3118-5024-8470";1;"2018-06-20"
"1179";"Johnny Kirlin";"630-15-8752";1992-10-13;"7826-1207-8445-3085";0;NA
"1180";"James Fahey";"517-70-7886";2002-12-28;"9918-9965-5452-8335";0;NA
"1181";"Stacey Gleichner";"575-58-8726";1999-02-03;"6368-1264-4353-1841";0;NA
"1182";"Edgar Rowe";"478-10-7812";2001-11-07;"6220-4209-3219-7202";0;NA
"1183";"Louanne Weissnat";"112-39-2773";1994-06-11;"8747-6936-6863-6702";0;NA
"1184";"Lynwood Auer";"249-82-8425";2002-11-15;"9207-9867-9873-5833";1;"2005-05-06"
"1185";"Donnell Leffler";"827-45-6000";1999-07-10;"1889-6129-8505-7596";1;"2020-12-19"
"1186";"Maryland Schowalter";"945-58-5397";2001-02-19;"7297-2890-9273-2852";0;NA
"1187";"Yesenia Steuber";"883-78-5785";1992-03-29;"2016-2526-5465-2615";1;"2014-12-20"
"1188";"Duncan Lynch";"746-71-7825";2000-06-17;"3554-3211-7326-1049";0;NA
"1189";"Anjanette Konopelski";"614-65-7226";1992-01-06;"8777-1948-7156-5581";0;NA
"1190";"Tiera Labadie";"404-55-5269";1996-09-01;"6503-2120-3380-5652";0;NA
"1191";"Gwenn Bergstrom";"816-79-5496";1999-12-11;"7697-6741-9166-2883";0;NA
"1192";"Madalyn Gutkowski";"245-37-4559";2000-04-10;"1983-6648-6707-8464";0;NA
"1193";"Letitia Thompson";"195-82-9423";1996-09-29;"3636-5567-4855-2746";0;NA
"1194";"Freddie Gibson";"187-47-2421";1993-10-13;"9819-6530-5717-2139";1;"2012-08-13"
"1195";"Carlos Wilderman";"714-78-9068";1996-06-11;"6929-2306-5475-4969";0;NA
"1196";"Reinaldo Trantow";"387-62-8711";1996-06-06;"3626-9332-9038-3991";0;NA
"1197";"Carlo Abbott";"418-51-2861";1999-11-25;"5407-6776-3068-6300";0;NA
"1198";"Shanae Cummerata";"191-45-1363";1991-01-03;"5160-8879-4788-9903";0;NA
"1199";"Ashley Stiedemann";"214-32-9682";2001-12-17;"7496-8711-1574-9201";1;"2013-04-25"
"1200";"Porsha Crona";"103-63-2690";1992-06-02;"4571-5763-1823-9305";0;NA
"1201";"Barrett Beier";"784-25-2486";1990-06-30;"8597-2192-2956-3535";1;"2023-10-10"
"1202";"Danny Kassulke";"799-76-6920";1996-03-29;"2181-3262-1077-3268";1;"2005-06-11"
"1203";"Cory Monahan";"150-15-8277";1990-03-11;"3611-1500-6652-9463";0;NA
"1204";"Alida Tromp";"711-66-1832";1999-11-23;"9067-4272-2353-5724";0;NA
"1205";"Min Hettinger";"658-99-5998";1990-12-19;"1517-8908-8070-3584";0;NA
"1206";"Kazuko Jacobson";"217-84-4815";2000-10-25;"8749-6767-5087-5604";0;NA
"1207";"Quinn Klocko";"431-53-7430";1999-08-16;"3243-1922-6965-3868";0;NA
"1208";"Cheyenne Witting";"414-37-7059";2003-03-03;"3629-4527-9265-5645";0;NA
"1209";"Tyree Ryan";"978-39-9500";1993-11-07;"7915-8903-2417-4485";0;NA
"1210";"Tonda Runte";"419-73-1102";1996-08-26;"2004-7993-8014-6646";0;NA
"1211";"Zachary Sanford";"575-99-6821";2000-06-30;"1449-9007-6630-6641";1;"2019-09-09"
"1212";"Chasidy Walker";"986-62-7734";1998-12-27;"7234-2256-3847-3994";0;NA
"1213";"Pam Gusikowski";"454-24-7433";2003-01-14;"2255-1260-1189-8780";0;NA
"1214";"Parker Schinner";"822-97-9049";1995-06-04;"5549-8871-2435-1601";0;NA
"1215";"Francis Weissnat";"925-32-2017";1992-04-26;"7096-6195-7858-2212";1;"2023-09-26"
"1216";"Albina Farrell";"384-56-2259";2003-05-21;"2906-1504-2776-5348";1;"2013-08-26"
"1217";"Chung Mills";"669-61-1856";1997-07-20;"5096-8372-8804-4825";0;NA
"1218";"Anissa Cartwright";"877-67-3329";1994-12-10;"8696-3376-8478-8699";0;NA
"1219";"Ben Lynch";"671-97-8199";1993-07-13;"6289-5899-3460-2068";1;"2017-11-25"
"1220";"Adina Thiel";"757-35-6629";2002-05-31;"1272-7967-6117-5846";0;NA
"1221";"Anthony Smith";"835-47-4463";2003-03-16;"5359-1961-9799-2199";1;"2005-06-13"
"1222";"Cletus Yost";"111-13-1670";1992-01-20;"8481-1342-3854-5587";0;NA
"1223";"Florencia Towne";"759-52-1316";1999-03-30;"9390-2312-3924-1199";1;"2010-12-20"
"1224";"Stephan Rohan";"499-62-7761";1993-09-29;"6285-4875-6313-4046";0;NA
"1225";"Keven Stracke";"875-70-1281";1995-04-01;"5055-4432-3873-4861";0;NA
"1226";"Maira Lockman";"110-73-6370";1990-05-23;"1543-7605-8677-1039";0;NA
"1227";"Otha Muller";"202-79-9215";1996-07-19;"3887-2423-4889-8384";0;NA
"1228";"Hank Crona";"943-70-3150";1998-01-07;"1453-3206-7982-9697";0;NA
"1229";"Mervin Lockman";"870-42-2989";1993-11-26;"2822-9204-1663-5988";1;"2022-10-16"
"1230";"Lashell Larkin";"448-16-9479";1996-12-03;"2770-8443-8923-5986";0;NA
"1231";"Inell Stamm";"639-44-2076";1990-03-20;"6811-9507-9189-3663";0;NA
"1232";"Jonathan Rowe";"763-41-6201";2000-11-16;"2550-9148-8494-6679";0;NA
"1233";"Ezekiel Flatley";"367-40-1354";2003-08-01;"7634-2473-6944-6520";0;NA
"1234";"Deon Ward";"615-56-3635";1993-09-16;"1122-9381-2475-2850";0;NA
"1235";"Elliott Kulas";"818-50-5175";2003-10-27;"5558-6705-4009-3183";0;NA
"1236";"Minerva Littel";"335-39-9122";1992-10-23;"6047-6411-4827-7410";0;NA
"1237";"Dominic Fay";"158-74-8859";1993-01-05;"5295-5648-8364-8369";0;NA
"1238";"Claudio Mertz";"434-93-6014";1996-02-13;"4687-6195-3910-4789";0;NA
"1239";"Cinthia Reilly";"603-86-3265";1998-03-18;"3447-2238-2131-3445";0;NA
"1240";"Kathlene Harber";"517-57-6729";2002-04-30;"4284-9541-4812-3820";0;NA
"1241";"Tessie Buckridge";"294-80-5689";1990-12-08;"5391-2793-6857-9137";0;NA
"1242";"Jim Spinka";"130-14-7723";1991-07-11;"9894-1583-3022-4282";0;NA
"1243";"Mitch Effertz";"616-80-1713";2000-09-19;"3495-3408-9396-8762";1;"2012-12-09"
"1244";"Terrence Schmeler";"298-57-4331";1990-08-27;"4851-4268-9318-3746";0;NA
"1245";"Tomas Bogan";"546-18-8486";1990-10-10;"7254-3174-5582-4543";1;"2010-03-02"
"1246";"Barry Robel";"628-66-4649";2001-01-06;"9262-4783-3161-7557";0;NA
"1247";"Adam Purdy";"586-56-2439";1998-03-07;"8907-4082-4038-7209";1;"2017-06-01"
"1248";"Racquel Kovacek";"228-40-4981";2000-06-29;"4997-3391-7154-2045";1;"2007-09-30"
"1249";"Bea Howell";"361-99-8916";2003-01-19;"1813-6586-2533-9925";0;NA
"1250";"Chu Howe";"899-43-2609";1998-07-13;"6728-7618-3218-4557";0;NA
"1251";"Johnie Hammes";"406-65-3678";2000-08-29;"7795-2477-2620-6177";0;NA
"1252";"Alfonso Cruickshank";"331-55-4395";1990-10-15;"2423-9575-6240-5717";0;NA
"1253";"Pa Dooley";"326-73-9079";2002-07-22;"7184-2510-3760-3512";0;NA
"1254";"Darlena Cormier";"533-60-9318";2000-12-31;"8744-1060-8288-3900";0;NA
"1255";"Tambra Grimes";"704-58-8907";2003-10-05;"5530-3670-5352-7503";0;NA
"1256";"Ethan Jones";"386-93-9807";1995-03-23;"1413-4041-8295-4144";0;NA
"1257";"Jarvis Keeling";"284-66-8232";2002-06-06;"5424-1083-9099-6825";0;NA
"1258";"Jeannetta Koss";"462-10-1922";2002-11-22;"7067-4811-1083-2136";0;NA
"1259";"Junior Kessler";"793-91-6555";2003-07-03;"7590-3212-9198-4938";0;NA
"1260";"Gino Hessel";"573-14-2193";1994-07-30;"7148-6611-9408-5344";0;NA
"1261";"Jeannette Gleason";"286-90-4730";1994-09-01;"2242-4953-2947-2454";1;"2009-05-02"
"1262";"Fleta Quitzon";"619-24-3233";1990-06-15;"1416-1669-1956-8660";0;NA
"1263";"Lupe Waters";"700-55-1484";2000-02-27;"3070-6715-4122-5729";0;NA
"1264";"Dick Cassin";"729-29-2012";2000-02-07;"9400-5534-9731-3281";0;NA
"1265";"Ernestina Kovacek";"551-47-4989";1994-09-06;"4850-3088-3896-9236";0;NA
"1266";"Louann Cole";"521-14-5573";1993-09-18;"6997-7139-3114-1946";0;NA
"1267";"Janett Cruickshank";"575-24-5402";1994-08-19;"4676-6794-9273-8321";0;NA
"1268";"Brittaney Bode";"972-95-7629";2000-04-06;"6550-5366-6815-4616";0;NA
"1269";"Marcella Kuhlman";"228-61-4583";1994-10-20;"6942-6562-7119-3023";0;NA
"1270";"Dorthey Hahn";"517-68-4874";2002-12-11;"6421-6450-5606-9671";0;NA
"1271";"Robin Gutmann";"625-67-1682";1994-08-07;"6056-6511-7718-2541";1;"2014-08-14"
"1272";"Dick Stehr";"926-85-5170";2002-09-06;"8466-4814-6226-1490";0;NA
"1273";"Pedro Moore";"106-67-5263";1990-06-16;"1175-4718-9895-6661";0;NA
"1274";"Anastasia Zulauf";"715-91-4634";1992-07-17;"9000-2291-7889-7772";0;NA
"1275";"Frankie Price";"394-90-7082";1999-10-13;"2710-1354-8444-1587";0;NA
"1276";"Barney Pagac";"937-81-5799";1998-02-28;"2660-5233-1519-3145";1;"2012-08-27"
"1277";"Monroe Littel";"511-20-1196";1999-06-16;"4622-9533-5691-2441";0;NA
"1278";"Gerry Gaylord";"380-82-2395";1993-06-10;"9759-8700-1714-8283";0;NA
"1279";"Eleanore Beahan";"433-95-5490";1998-10-30;"2957-9229-7536-3948";0;NA
"1280";"Darrel Ebert";"695-46-6693";1998-08-24;"3873-2775-5264-7106";0;NA
"1281";"Trish Lowe";"101-47-1080";2001-01-01;"7392-3119-3099-6668";0;NA
"1282";"Vernell Steuber";"428-65-6427";1991-11-10;"3060-8452-6124-3753";0;NA
"1283";"Pablo Bergstrom";"925-53-3472";1999-12-18;"4512-2370-2286-8509";0;NA
"1284";"Dotty Larkin";"312-77-1573";2002-11-10;"9123-2385-7511-2870";0;NA
"1285";"Carol Rowe";"274-12-7282";1992-07-19;"8880-2958-2515-2572";1;"2014-01-05"
"1286";"Lizbeth Morar";"292-85-1554";1999-03-23;"1231-9920-3225-4244";0;NA
"1287";"Marta Wiegand";"926-51-7075";2002-08-29;"6535-8150-9883-6034";1;"2018-02-25"
"1288";"Juanita Purdy";"284-11-2004";2003-05-30;"6124-7237-7237-8678";1;"2007-12-01"
"1289";"Hermila Nader";"533-69-6841";1997-01-13;"9566-4700-4339-1715";0;NA
"1290";"Harrison D'Amore";"282-35-5282";2000-07-14;"4062-1485-6129-6456";0;NA
