"";"ID";"value_mortgage";"value_nonmortgage"
"855";"224-90-5752";0;3643
"856";"413-63-2322";0;3945
"857";"891-77-1858";679998;23468
"858";"573-36-6620";0;16479
"859";"161-43-5651";0;3419
"860";"596-88-8834";334734;16050
"861";"760-44-9084";431915;8391
"862";"919-43-9850";501688;7544
"863";"785-12-1380";528846;30170
"864";"745-73-3013";0;2147
"865";"733-14-9299";270392;2377
"866";"831-39-3647";0;6680
"867";"730-58-4289";0;3262
"868";"107-30-5886";0;7749
"869";"339-30-8474";513707;34067
"870";"973-50-5238";0;13262
"871";"640-20-6152";0;17146
"872";"867-20-2473";433675;21016
"873";"130-21-7363";0;4625
"874";"866-35-2027";0;5312
"875";"344-63-9975";0;5901
"876";"924-56-9534";0;4994
"877";"572-90-3015";0;9929
"878";"241-95-1555";663915;4325
"879";"338-68-9199";0;4410
"880";"342-89-5864";0;1751
"881";"580-79-4349";498791;15041
"882";"210-28-2107";0;3230
"883";"891-73-2404";0;3124
"884";"679-12-8905";0;7502
"885";"861-62-5223";453473;2217
"886";"583-41-8108";337115;12882
"887";"971-75-1102";0;4737
"888";"554-95-8051";330183;4020
"889";"803-75-8780";660264;4625
"890";"460-89-4144";385575;10834
"891";"405-18-7018";0;9301
"892";"222-13-7377";0;2575
"893";"380-51-1356";0;8011
"894";"278-28-1916";483958;7296
"895";"516-43-8643";0;15830
"896";"397-16-2862";0;7946
"897";"100-81-9317";435181;7987
"898";"721-43-4825";0;10204
"899";"530-56-6420";0;3809
"900";"227-29-3884";0;11044
"901";"105-53-7579";0;7485
"902";"602-67-3380";345565;14901
"903";"342-91-4168";0;22323
"904";"890-81-8766";0;6751
"905";"579-86-2743";0;15940
"906";"669-23-6759";0;22903
"907";"351-57-6982";0;2140
"908";"770-28-4876";256665;14450
"909";"363-16-2011";0;4692
"910";"453-28-3333";0;5476
"911";"886-10-5638";319527;16913
"912";"329-15-5044";562216;17905
"913";"822-43-2458";0;6580
"914";"963-33-4940";442075;4304
"915";"996-30-1376";0;20660
"916";"280-13-3284";0;15509
"917";"557-56-4547";590803;22084
"918";"724-94-3969";677621;11855
"919";"317-64-4151";0;13326
"920";"619-14-9562";0;7537
"921";"908-50-6777";468982;18590
"922";"395-50-8594";0;1865
"923";"655-61-5379";132097;8215
"924";"929-53-6451";0;4501
"925";"228-48-9909";0;15700
"926";"372-44-1681";0;1570
"927";"886-92-6234";679958;5624
"928";"836-51-6350";0;3453
"929";"439-62-8746";250935;9184
"930";"343-73-3736";0;9160
"931";"940-11-2471";0;934
"932";"288-53-9339";0;9201
"933";"160-96-8420";696429;11688
"934";"975-58-6174";0;6645
"935";"739-91-5264";0;23692
"936";"809-17-2093";0;3651
"937";"241-23-1489";560539;7790
"938";"420-31-4949";706223;6928
"939";"723-35-2087";0;8928
"940";"630-94-6664";0;1331
"941";"566-86-6069";0;6554
"942";"448-13-9484";0;2082
"943";"208-19-6518";0;4804
"944";"117-30-3574";0;7127
"945";"637-63-8438";541517;24157
"946";"336-77-9552";0;5549
"947";"979-26-6045";703080;10674
"948";"787-35-2033";0;10161
"949";"797-62-1145";0;10205
"950";"561-41-3753";591142;14707
"951";"664-25-1405";0;14491
"952";"214-44-7376";0;6635
"953";"442-93-8472";0;10468
"954";"433-67-3753";0;9204
"955";"498-69-8289";507986;24671
"956";"994-11-4961";0;4433
"957";"610-36-2310";645439;5288
"958";"750-37-9409";478242;11286
"959";"772-25-9887";0;11782
"960";"190-28-3410";0;2818
"961";"981-81-3997";0;6842
"962";"598-58-8939";0;10597
"963";"296-28-4563";0;16561
"964";"120-26-7000";0;7473
"965";"796-39-7189";0;5009
"966";"756-17-7674";428945;9791
"967";"200-20-3251";842062;1997
"968";"127-76-8398";0;2905
"969";"648-95-4598";0;2237
"970";"340-98-9514";0;19025
"971";"770-59-9260";0;9218
"972";"737-85-4612";0;6952
"973";"547-94-7016";579372;14749
"974";"920-72-6989";0;748
"975";"740-78-4239";669959;4932
"976";"434-19-7829";0;6440
"977";"482-56-1781";0;5493
"978";"470-43-2657";0;17058
"979";"413-49-8173";0;11200
"980";"973-67-4640";0;8898
"981";"677-99-3589";500153;9167
"982";"738-21-5698";0;804
"983";"354-75-5616";0;16672
"984";"245-71-5470";0;10484
"985";"272-86-3739";0;12707
"986";"364-70-4204";0;6724
"987";"474-82-1595";556722;983
"988";"666-94-9469";0;14377
"989";"214-74-2963";0;9543
"990";"698-70-6001";0;2935
"991";"134-36-9663";0;10118
"992";"690-46-8949";0;4157
"993";"290-77-5192";0;6411
"994";"887-76-7658";0;10249
"995";"472-59-7042";0;3425
"996";"995-10-3216";0;17207
"997";"774-77-5600";0;2352
"998";"158-12-7108";0;18377
"999";"237-80-1301";0;12315
"1000";"861-73-3180";617533;11963
"1001";"425-59-9663";247899;3167
"1002";"654-12-1365";0;6752
"1003";"944-96-6855";361148;8981
"1004";"447-46-4575";0;4316
"1005";"237-92-1525";439790;18363
"1006";"888-25-6211";0;6486
"1007";"874-54-8045";190780;17363
"1008";"236-94-5650";398238;10573
"1009";"782-60-4996";0;5017
"1010";"146-12-3687";0;15375
"1011";"459-77-8565";312724;7220
"1012";"272-34-9593";0;13056
"1013";"989-92-6426";0;23763
"1014";"669-72-2693";223284;9526
"1015";"721-29-7736";0;5243
"1016";"126-34-8329";0;8558
"1017";"515-22-7796";0;20552
"1018";"613-59-3288";1042589;11895
"1019";"322-76-4979";0;2193
"1020";"996-29-6343";279556;28833
"1021";"585-95-3954";0;1397
"1022";"326-90-9440";0;11307
"1023";"160-59-7867";210489;2333
"1024";"440-61-3840";0;10715
"1025";"849-16-8137";1103957;6754
"1026";"267-83-1744";0;7019
"1027";"871-91-4888";149178;1836
"1028";"829-78-2534";481372;6643
"1029";"612-84-1452";0;5504
"1030";"837-29-8321";555884;4269
"1031";"948-95-5484";0;15784
"1032";"640-71-4326";645629;22282
"1033";"714-46-4888";265328;15570
"1034";"680-17-9677";0;5684
"1035";"981-53-1588";0;2435
"1036";"721-95-7649";0;6756
"1037";"525-75-4573";351172;27513
"1038";"745-89-5950";278491;3500
"1039";"701-52-7183";0;3413
"1040";"434-22-9295";0;7018
"1041";"674-29-1809";0;6564
"1042";"113-87-7567";0;1123
"1043";"255-60-6840";1161696;25752
"1044";"762-44-6424";0;15317
"1045";"216-40-1655";0;1337
"1046";"803-24-9677";0;4804
"1047";"833-83-3907";0;7057
"1048";"249-87-4801";523888;11891
"1049";"644-67-1862";0;3622
"1050";"665-73-5254";0;7220
"1051";"918-22-3243";924222;30341
"1052";"295-94-8957";0;6770
"1053";"943-91-4346";0;16245
"1054";"934-23-8817";0;15521
"1055";"367-34-2525";0;5437
"1056";"440-68-1095";0;33213
"1057";"187-86-6598";0;6077
"1058";"389-79-3963";0;11796
"1059";"410-91-1652";0;6855
"1060";"430-45-3641";0;7312
"1061";"955-78-2958";387780;7688
"1062";"737-36-5537";0;16820
"1063";"369-72-8414";0;6165
"1064";"987-38-8963";0;2290
"1065";"615-30-8936";0;10000
"1066";"851-52-6335";0;11720
"1067";"652-42-1841";0;2162
"1068";"423-97-7394";0;4128
"1069";"170-57-5805";0;5284
"1070";"433-11-5133";0;20692
"1071";"439-16-7952";0;2522
"1072";"476-19-1325";0;11367
"1073";"814-82-8590";0;14802
"1074";"193-87-4678";0;5409
"1075";"802-24-8773";0;3423
"1076";"162-78-3959";0;7524
"1077";"294-38-2536";0;19144
"1078";"778-69-9125";0;13793
"1079";"640-67-3069";0;22825
"1080";"854-37-2222";0;6612
"1081";"112-38-2896";0;1200
"1082";"127-61-4922";270444;7943
"1083";"441-82-5679";0;9221
"1084";"703-42-5071";0;5786
"1085";"937-43-9850";308223;10364
"1086";"556-36-6435";0;15477
"1087";"192-29-6720";0;7543
"1088";"353-71-5238";0;9624
"1089";"107-75-5414";324096;5655
"1090";"574-54-2549";0;7116
"1091";"420-55-6859";655053;15059
"1092";"215-68-6060";227316;4185
"1093";"974-52-7527";753424;9017
"1094";"540-55-5830";393797;8124
"1095";"871-94-8584";300519;6997
"1096";"556-80-1840";0;8125
"1097";"313-21-9368";549985;10031
"1098";"496-67-6907";336459;46130
"1099";"419-37-6554";466534;12252
"1100";"438-52-2376";0;9981
"1101";"628-35-9499";282312;30383
"1102";"984-61-3645";0;8428
"1103";"411-71-1713";94729;14129
"1104";"748-18-4919";0;3213
"1105";"406-10-5341";0;23559
"1106";"131-76-4599";0;3896
"1107";"284-47-2902";0;10828
"1108";"700-81-7322";285017;435
"1109";"589-84-7657";0;1358
"1110";"372-64-3945";0;5152
"1111";"534-50-4732";0;18931
"1112";"440-67-6222";0;11057
"1113";"513-39-9383";0;5887
"1114";"160-38-7514";0;12666
"1115";"710-90-4160";0;12065
"1116";"369-24-3279";0;7579
"1117";"248-78-7505";425234;17537
"1118";"817-37-8288";0;11915
"1119";"377-67-4635";0;777
"1120";"232-25-6241";0;4123
"1121";"392-56-5059";0;31264
"1122";"517-30-6923";0;1079
"1123";"252-30-2027";652309;7672
"1124";"789-99-6350";674300;13700
"1125";"534-14-4678";0;10565
"1126";"621-46-4167";0;21926
"1127";"356-38-6970";205584;10549
"1128";"831-62-5865";0;1761
"1129";"346-59-1605";0;5095
"1130";"534-56-5480";860629;12541
"1131";"135-10-6417";0;2241
"1132";"585-16-9383";565431;14764
"1133";"316-58-8914";0;2116
"1134";"231-76-6681";0;6410
"1135";"266-37-3449";122923;940
"1136";"624-77-1658";0;22814
"1137";"414-76-5223";0;5325
"1138";"407-91-3613";0;6796
"1139";"647-32-2627";0;5528
"1140";"288-56-3880";0;19041
"1141";"401-61-3711";0;13372
"1142";"964-72-2254";504570;1788
"1143";"381-10-4123";492984;8051
"1144";"618-39-9917";704856;5867
"1145";"300-40-4150";467262;10477
"1146";"473-17-5708";1506280;11413
"1147";"979-60-1632";403828;3894
"1148";"753-71-4909";0;1450
"1149";"981-20-7807";74044;4621
"1150";"710-13-9293";0;16129
"1151";"196-83-8735";0;10659
"1152";"970-12-4133";342888;1746
"1153";"388-47-7844";0;5502
"1154";"607-88-4140";0;7957
"1155";"401-58-8478";640348;11878
"1156";"757-51-2777";1102260;16442
"1157";"394-24-3743";0;2887
"1158";"499-62-7753";824466;13467
"1159";"723-10-4877";0;19987
"1160";"839-58-1045";0;8938
"1161";"303-25-4275";0;9415
"1162";"594-88-5096";0;20221
"1163";"839-81-6563";0;7034
"1164";"702-29-9399";0;11364
"1165";"647-97-2454";0;4517
"1166";"222-25-3578";0;8749
"1167";"787-27-1612";0;8375
"1168";"458-17-4944";0;4749
"1169";"758-79-6249";192367;6264
"1170";"420-81-7185";327095;11619
"1171";"546-64-8453";0;22570
"1172";"988-37-1882";0;2973
"1173";"231-84-3865";777679;8672
"1174";"475-14-6720";0;12164
"1175";"505-10-1367";260884;11990
"1176";"972-26-5034";0;2014
"1177";"475-52-5581";280338;14498
"1178";"167-74-2013";0;13109
"1179";"630-15-8752";0;25084
"1180";"517-70-7886";0;12576
"1181";"575-58-8726";323254;3475
"1182";"478-10-7812";593270;8107
"1183";"112-39-2773";0;5134
"1184";"249-82-8425";0;4428
"1185";"827-45-6000";0;6429
"1186";"945-58-5397";0;2988
"1187";"883-78-5785";0;8896
"1188";"746-71-7825";0;1189
"1189";"614-65-7226";260677;6661
"1190";"404-55-5269";465552;12542
"1191";"816-79-5496";314026;5921
"1192";"245-37-4559";0;17631
"1193";"195-82-9423";0;3567
"1194";"187-47-2421";1494757;1402
"1195";"714-78-9068";0;21062
"1196";"387-62-8711";0;15167
"1197";"418-51-2861";280498;15029
"1198";"191-45-1363";0;20738
"1199";"214-32-9682";0;7656
"1200";"103-63-2690";0;3150
"1201";"784-25-2486";125946;3304
"1202";"799-76-6920";0;23854
"1203";"150-15-8277";234325;6933
"1204";"711-66-1832";529441;27689
"1205";"658-99-5998";0;9387
"1206";"217-84-4815";0;7365
"1207";"431-53-7430";0;1304
"1208";"414-37-7059";0;8450
"1209";"978-39-9500";0;12017
"1210";"419-73-1102";0;9261
"1211";"575-99-6821";0;14595
"1212";"986-62-7734";0;3808
"1213";"454-24-7433";335052;2221
"1214";"822-97-9049";387735;4786
"1215";"925-32-2017";0;16034
"1216";"384-56-2259";963765;4802
"1217";"669-61-1856";281131;15570
"1218";"877-67-3329";0;6096
"1219";"671-97-8199";752515;28007
"1220";"757-35-6629";0;7634
"1221";"835-47-4463";387817;4842
"1222";"111-13-1670";548380;11579
"1223";"759-52-1316";0;10888
"1224";"499-62-7761";0;27584
"1225";"875-70-1281";186795;17148
"1226";"110-73-6370";0;16322
"1227";"202-79-9215";0;7349
"1228";"943-70-3150";0;25924
"1229";"870-42-2989";0;15792
"1230";"448-16-9479";0;36262
"1231";"639-44-2076";0;6669
"1232";"763-41-6201";595584;12074
"1233";"367-40-1354";0;6827
"1234";"615-56-3635";0;21024
"1235";"818-50-5175";0;4127
"1236";"335-39-9122";0;4155
"1237";"158-74-8859";0;2582
"1238";"434-93-6014";0;1976
"1239";"603-86-3265";0;985
"1240";"517-57-6729";333992;10527
"1241";"294-80-5689";0;6897
"1242";"130-14-7723";0;1433
"1243";"616-80-1713";0;2659
"1244";"298-57-4331";0;20478
"1245";"546-18-8486";0;3154
"1246";"628-66-4649";0;3611
"1247";"586-56-2439";0;6379
"1248";"228-40-4981";1060950;21070
"1249";"361-99-8916";0;2180
"1250";"899-43-2609";0;6264
"1251";"406-65-3678";0;1751
"1252";"331-55-4395";0;15606
"1253";"326-73-9079";402309;14574
"1254";"533-60-9318";0;4003
"1255";"704-58-8907";482527;4592
"1256";"386-93-9807";0;6079
"1257";"284-66-8232";0;17994
"1258";"462-10-1922";334346;13242
"1259";"793-91-6555";0;23142
"1260";"573-14-2193";0;7373
"1261";"286-90-4730";0;6417
"1262";"619-24-3233";0;17544
"1263";"700-55-1484";530736;15000
"1264";"729-29-2012";0;4283
"1265";"551-47-4989";448925;7764
"1266";"521-14-5573";0;7661
"1267";"575-24-5402";1139732;4081
"1268";"972-95-7629";317427;1141
"1269";"228-61-4583";0;1885
"1270";"517-68-4874";0;4156
"1271";"625-67-1682";0;8966
"1272";"926-85-5170";0;8115
"1273";"106-67-5263";307385;14376
"1274";"715-91-4634";770441;2501
"1275";"394-90-7082";565012;3011
"1276";"937-81-5799";316962;2670
"1277";"511-20-1196";0;5006
"1278";"380-82-2395";1086333;23038
"1279";"433-95-5490";0;6913
"1280";"695-46-6693";586292;6754
"1281";"101-47-1080";592098;14042
"1282";"428-65-6427";0;8359
"1283";"925-53-3472";1185340;15971
"1284";"312-77-1573";0;2650
"1285";"274-12-7282";0;18171
"1286";"292-85-1554";0;6056
"1287";"926-51-7075";0;11522
"1288";"284-11-2004";0;1988
"1289";"533-69-6841";0;6518
"1290";"282-35-5282";0;11505
"1291";"648-75-9954";0;5492
"1292";"131-92-7338";0;10224
"1293";"507-92-7418";0;4650
"1294";"299-19-3189";0;11126
"1295";"205-54-8215";0;5167
"1296";"930-83-5013";0;5461
"1297";"863-14-1250";0;10448
"1298";"273-71-1098";0;2580
"1299";"916-44-6456";652596;3376
"1300";"507-14-7695";0;18090
"1301";"241-52-2393";0;12686
"1302";"766-28-2701";0;2780
"1303";"494-36-1568";575899;2336
"1304";"407-64-4740";407405;4143
"1305";"452-65-5152";0;22908
"1306";"694-21-2470";407136;2054
"1307";"477-97-4963";0;2043
"1308";"963-61-1697";0;17922
"1309";"965-75-1571";0;8032
"1310";"934-88-4111";0;7313
"1311";"671-60-9145";0;27502
"1312";"951-11-1134";798633;1801
"1313";"174-22-4274";0;16838
"1314";"729-35-8295";0;11308
"1315";"734-66-8276";0;15046
"1316";"796-53-3230";981318;5591
"1317";"887-39-3482";0;18272
"1318";"252-87-1271";0;10868
"1319";"178-28-1695";0;4870
"1320";"660-24-1318";0;7800
"1321";"250-21-3804";0;13788
"1322";"219-98-4083";0;5715
"1323";"357-72-6802";0;2100
"1324";"139-60-4264";0;190
"1325";"399-80-9689";482619;13648
"1326";"916-10-3667";0;23907
"1327";"696-71-7470";204909;9260
"1328";"471-97-7155";0;13420
"1329";"738-32-8806";0;7407
"1330";"748-75-5344";0;5146
"1331";"511-50-5044";0;3621
"1332";"799-89-6320";0;17021
"1333";"195-17-8288";0;6027
"1334";"917-82-2652";0;2085
"1335";"889-37-6965";0;871
"1336";"809-53-7583";0;7663
"1337";"580-87-3278";0;16605
"1338";"316-69-5634";388290;7265
"1339";"766-85-8965";0;8859
"1340";"662-11-4990";0;13091
"1341";"506-67-8238";0;13207
"1342";"438-71-1407";0;12855
"1343";"794-59-3814";364648;3238
"1344";"436-94-8078";0;5758
"1345";"378-75-1054";0;25901
"1346";"222-98-5317";0;7665
"1347";"753-93-6201";0;9851
"1348";"749-39-7798";0;17228
"1349";"611-73-5423";0;34878
"1350";"603-97-6252";0;9538
"1351";"395-50-7323";0;6469
"1352";"712-73-9347";0;21440
"1353";"373-75-2476";357882;10279
"1354";"883-21-1921";0;3077
"1355";"668-77-2194";715007;5666
"1356";"122-55-9787";0;7829
"1357";"116-14-2857";490180;2710
"1358";"846-46-5402";605107;4211
"1359";"337-90-6903";0;5379
"1360";"718-33-5285";0;5237
"1361";"981-21-2413";757905;4975
"1362";"772-85-9427";0;4161
"1363";"479-83-7530";0;16343
"1364";"815-41-9533";0;9654
"1365";"831-77-4163";0;2786
"1366";"249-98-1989";0;9612
"1367";"169-31-3373";509712;18754
"1368";"565-38-4930";0;5106
"1369";"643-70-5187";0;22016
"1370";"863-56-1933";0;2260
"1371";"653-72-7230";402717;4246
"1372";"940-95-3877";593331;18256
"1373";"865-13-3753";0;8078
"1374";"845-81-3496";0;21832
"1375";"644-74-6219";468101;7347
"1376";"156-76-9600";0;17801
"1377";"152-71-4978";0;5057
"1378";"410-30-6907";0;2755
"1379";"430-52-2876";0;3424
"1380";"648-40-8855";0;7147
"1381";"441-60-2426";0;7465
"1382";"325-50-5557";369391;5500
"1383";"648-93-4333";0;12789
"1384";"519-59-7531";0;6949
"1385";"935-16-5762";0;1398
"1386";"301-19-4494";0;3281
"1387";"886-21-7306";706335;6850
"1388";"794-20-2832";330559;6884
"1389";"777-38-1801";0;12211
"1390";"975-33-8521";0;10465
"1391";"109-39-3499";0;1866
"1392";"432-38-8430";0;11395
"1393";"930-52-3142";0;5855
"1394";"715-79-4712";492002;40654
"1395";"217-49-1208";0;7675
"1396";"717-75-9783";0;10343
"1397";"613-26-9380";0;13927
"1398";"357-30-9352";0;13282
"1399";"724-79-6398";0;17077
"1400";"459-22-7713";0;7391
"1401";"263-56-7380";0;4431
"1402";"522-83-2702";0;9004
"1403";"505-12-5229";0;5691
"1404";"486-35-6614";0;8890
"1405";"748-64-6584";0;34939
"1406";"541-31-4142";0;12347
"1407";"587-68-6945";0;2306
"1408";"194-77-2989";291349;138
"1409";"448-37-2501";133839;8528
"1410";"297-60-1427";601017;15592
"1411";"383-14-7354";0;1959
"1412";"393-86-5710";918942;1567
"1413";"229-96-5795";874655;2017
"1414";"699-64-1292";0;8053
"1415";"537-90-5335";0;6429
"1416";"930-83-8974";0;13198
"1417";"568-26-9093";0;8349
"1418";"949-50-7540";449356;3974
"1419";"186-51-8939";368766;20926
"1420";"276-84-9107";714496;12991
"1421";"966-99-6074";0;7540
"1422";"709-81-6341";0;16132
"1423";"287-84-3270";0;15096
"1424";"747-30-5087";0;10114
"1425";"889-49-4975";0;8054
"1426";"169-57-8670";643720;1168
"1427";"977-64-8138";0;16382
"1428";"482-25-9432";0;3692
"1429";"388-49-8544";0;6227
"1430";"580-90-1806";256742;290
"1431";"957-25-5007";0;10026
"1432";"624-30-2902";344481;13545
"1433";"280-49-7731";299408;16901
"1434";"319-12-5799";0;11744
"1435";"218-94-8757";0;20265
"1436";"685-42-3891";0;19063
"1437";"423-36-6241";0;35489
"1438";"965-18-1431";0;26895
"1439";"421-37-2142";0;1297
"1440";"375-12-9656";432671;4665
"1441";"543-28-9583";173670;3303
"1442";"764-52-8113";0;4602
"1443";"238-82-9517";0;23741
"1444";"469-82-4881";0;7557
"1445";"275-51-8076";356892;19035
"1446";"509-12-7832";0;3258
"1447";"175-36-4170";269379;9940
"1448";"595-61-1704";0;9381
"1449";"940-13-3956";341231;7805
"1450";"559-42-2688";0;25185
"1451";"689-67-2340";0;8167
"1452";"151-35-6019";0;14384
"1453";"789-40-4879";294044;4399
"1454";"674-57-8214";0;6611
"1455";"689-45-4311";0;12427
"1456";"833-89-5330";0;16029
"1457";"590-84-1538";0;4025
"1458";"603-23-8156";375178;695
"1459";"527-91-6094";0;8261
"1460";"998-76-6954";531718;9347
"1461";"592-51-6019";480690;11426
"1462";"634-76-1788";0;1856
"1463";"510-19-4881";139780;13826
"1464";"594-86-6746";0;8363
"1465";"167-35-6476";0;2165
"1466";"500-35-8421";0;7958
"1467";"764-68-1349";167935;28993
"1468";"603-49-2867";0;2262
"1469";"869-92-5344";0;11584
"1470";"969-36-8392";610449;867
"1471";"299-64-7603";0;6370
"1472";"683-27-7775";0;1580
"1473";"400-52-2985";0;10088
"1474";"138-29-6506";0;1690
"1475";"865-70-9423";460346;2750
"1476";"435-66-5395";281424;4208
"1477";"265-98-9054";1435202;5303
"1478";"878-16-4604";0;23922
"1479";"641-79-6820";0;12671
"1480";"746-56-8435";0;8446
"1481";"808-55-3712";0;26468
"1482";"316-68-7410";0;9904
"1483";"446-85-6151";0;6665
"1484";"103-82-4044";393768;5314
"1485";"211-37-7084";0;2472
"1486";"928-22-8430";0;7669
"1487";"779-17-6006";647796;4717
"1488";"155-97-2088";0;3382
"1489";"823-52-1857";0;9369
"1490";"546-39-3470";853178;9209
"1491";"251-13-6487";0;11661
"1492";"590-15-7815";0;16063
"1493";"149-47-3903";0;14554
"1494";"788-56-2018";0;7075
"1495";"283-86-6500";0;14936
"1496";"645-34-5483";0;9398
"1497";"420-73-8473";0;13570
"1498";"861-41-4635";0;4683
"1499";"183-91-7961";0;5674
"1500";"621-60-5180";0;6660
"1501";"187-49-1984";0;5681
"1502";"226-17-5306";0;15668
"1503";"605-92-6572";0;2068
"1504";"568-18-7728";590434;3909
"1505";"405-10-1597";493480;5418
"1506";"476-19-1831";0;12046
"1507";"119-62-3294";0;8623
"1508";"721-26-4172";0;19003
"1509";"356-99-1494";0;7479
"1510";"730-76-6007";0;22498
"1511";"447-75-8870";374913;3722
"1512";"494-58-2402";0;1484
"1513";"173-51-6606";731648;20737
"1514";"597-50-1376";0;4992
"1515";"127-52-9298";0;6088
"1516";"564-31-9045";0;20059
"1517";"534-55-7728";0;6256
"1518";"819-74-7864";0;5042
"1519";"613-53-1969";0;1052
"1520";"995-92-5101";377719;14266
"1521";"825-94-6922";0;2988
"1522";"287-37-6166";0;20314
"1523";"132-67-9312";0;1915
"1524";"838-59-9563";0;7562
"1525";"430-65-7104";0;19942
"1526";"325-43-7962";0;18964
"1527";"317-30-8069";527976;14107
"1528";"955-51-5787";0;3732
"1529";"545-67-6660";396887;21619
"1530";"239-45-2246";0;5421
"1531";"591-11-5934";499011;10726
"1532";"886-36-5234";678439;12663
"1533";"151-11-6732";730514;19357
"1534";"339-88-3862";0;13232
"1535";"752-92-5561";0;10865
"1536";"418-42-5039";0;8025
"1537";"162-93-2875";0;955
"1538";"931-87-4546";0;9922
"1539";"228-85-6093";0;1045
"1540";"998-45-8872";0;8390
"1541";"983-14-8293";0;15773
"1542";"589-17-8516";0;5513
"1543";"215-60-5474";0;11029
"1544";"528-98-7404";0;14223
"1545";"706-54-6803";0;10276
"1546";"859-44-7743";0;6782
"1547";"785-55-3415";0;8498
"1548";"720-51-2321";149157;6078
"1549";"750-32-4568";0;9693
"1550";"413-98-5847";0;11111
"1551";"781-78-7790";790404;15104
"1552";"748-42-9078";0;2421
"1553";"323-80-3229";0;7665
"1554";"531-59-1770";0;4395
"1555";"699-51-9093";0;23662
"1556";"528-95-1369";531089;10395
"1557";"760-48-3091";0;17110
"1558";"969-79-3172";457834;3754
"1559";"982-61-8325";424446;1391
"1560";"270-83-3723";0;7259
"1561";"120-51-3381";0;1232
"1562";"233-85-9877";855591;6575
"1563";"522-62-2516";0;7685
"1564";"960-66-8778";0;2480
"1565";"268-16-7276";0;3808
"1566";"920-65-7834";0;5059
"1567";"491-42-2804";0;11455
"1568";"694-45-6725";452306;11544
"1569";"795-27-4360";0;15330
"1570";"229-16-2580";0;2648
"1571";"548-55-7832";643584;7136
"1572";"668-44-2409";1108018;6417
"1573";"484-21-8990";0;2967
"1574";"366-83-7710";434258;3581
"1575";"836-91-1604";0;37043
"1576";"554-78-3728";407803;6646
"1577";"647-41-1475";683274;8120
"1578";"974-84-3065";0;1445
"1579";"962-81-8916";0;6770
"1580";"552-97-7317";369560;4200
"1581";"215-91-5360";849918;13301
"1582";"792-84-8024";346487;17018
"1583";"748-93-9539";0;21703
"1584";"465-66-8729";0;7157
"1585";"684-11-7274";0;9884
"1586";"542-27-2075";0;25054
"1587";"352-90-8403";0;5335
"1588";"343-87-3187";0;4789
"1589";"489-27-5744";0;5694
"1590";"498-16-8327";0;9205
"1591";"527-50-9837";0;26928
"1592";"490-99-7001";0;22563
"1593";"109-70-3198";0;6237
"1594";"355-88-5663";672202;4127
"1595";"373-19-5476";0;8238
"1596";"510-93-6116";0;3444
"1597";"293-13-1867";0;2413
"1598";"270-27-6408";0;11128
"1599";"778-87-2961";0;5862
"1600";"507-72-4307";0;20098
"1601";"350-47-9790";619674;6434
"1602";"577-30-1680";0;660
"1603";"846-17-4791";0;11604
"1604";"942-14-7787";0;6164
"1605";"342-81-6696";0;1968
"1606";"461-41-1866";0;3970
"1607";"725-50-8081";160698;18187
"1608";"415-75-3379";659704;23272
"1609";"645-86-5131";616651;266
"1610";"195-31-2892";0;16524
"1611";"312-98-6697";370913;9771
"1612";"617-28-1502";568873;8379
"1613";"168-18-8141";0;7625
"1614";"570-10-6432";0;8301
"1615";"319-11-5377";0;8044
"1616";"400-95-7538";0;6151
"1617";"131-61-2295";0;13122
"1618";"770-32-2281";275023;13603
"1619";"808-86-4590";0;8548
"1620";"991-22-8530";1011124;6570
"1621";"280-26-9687";0;13495
"1622";"882-33-3074";0;18108
"1623";"422-54-4068";0;10482
"1624";"488-56-2608";0;6912
"1625";"333-75-2749";0;2147
"1626";"818-48-2717";230213;5645
"1627";"382-21-3902";686488;6145
"1628";"373-64-7040";184826;39633
"1629";"434-95-8866";0;12447
"1630";"416-33-9660";507906;6687
"1631";"523-81-9984";215245;15966
"1632";"554-26-4884";919466;5102
"1633";"485-66-9830";0;1753
"1634";"819-39-7963";0;3634
"1635";"455-10-7731";0;15149
"1636";"390-31-8048";0;21288
"1637";"283-61-3295";0;6694
"1638";"729-50-3621";0;2166
"1639";"868-69-2430";0;7203
"1640";"100-78-2433";0;3734
"1641";"156-70-4709";0;10554
"1642";"509-18-7550";0;1925
"1643";"746-59-9234";183764;12531
"1644";"330-33-2255";0;36866
"1645";"392-59-8978";0;8677
"1646";"888-88-4923";0;4688
"1647";"126-78-4774";0;3164
"1648";"591-11-9945";799796;3293
"1649";"545-80-1509";560562;11430
"1650";"644-28-7680";0;9914
"1651";"714-37-3705";0;13638
"1652";"779-60-9211";0;4666
"1653";"633-72-4556";0;2112
"1654";"903-62-3436";0;10899
"1655";"140-75-9328";0;3198
"1656";"449-67-1534";0;4791
"1657";"359-45-9982";0;4900
"1658";"745-11-5656";183419;2114
"1659";"343-58-4247";0;12279
"1660";"317-36-3280";0;1582
"1661";"843-42-3063";0;8692
"1662";"333-12-7706";711443;11291
"1663";"472-33-5225";0;13529
"1664";"828-76-6205";400217;6511
"1665";"905-18-5257";0;11134
"1666";"177-59-2996";0;5527
"1667";"969-64-2143";0;14183
"1668";"540-80-4550";368026;4910
"1669";"160-67-4340";0;1616
"1670";"658-87-1102";0;6372
